condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,mbons_nonzero,720575940614892182,MBON28,right,12.4
odor_b_dl2d_left,mbons_nonzero,720575940615221811,MBON10,right,55.6
odor_b_dl2d_left,mbons_nonzero,720575940616463477,MBON22,left,134.4
odor_b_dl2d_left,mbons_nonzero,720575940617302365,MBON07,left,158.2
odor_b_dl2d_left,mbons_nonzero,720575940617552340,MBON02,right,147.0
odor_b_dl2d_left,mbons_nonzero,720575940617567206,MBON23,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940617749538,MBON11,right,225.2
odor_b_dl2d_left,mbons_nonzero,720575940618008859,MBON30,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940620715224,MBON21,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940621164720,MBON05,left,205.0
odor_b_dl2d_left,mbons_nonzero,720575940621828443,MBON12,left,138.8
odor_b_dl2d_left,mbons_nonzero,720575940622093436,MBON15,right,14.0
odor_b_dl2d_left,mbons_nonzero,720575940622997453,MBON18,right,4.6
odor_b_dl2d_left,mbons_nonzero,720575940623001480,MBON12,right,124.6
odor_b_dl2d_left,mbons_nonzero,720575940623182847,MBON33,left,74.4
odor_b_dl2d_left,mbons_nonzero,720575940623201833,MBON11,left,229.2
odor_b_dl2d_left,mbons_nonzero,720575940623381956,MBON07,right,128.2
odor_b_dl2d_left,mbons_nonzero,720575940623750325,"MBON25,MBON34",left,17.4
odor_b_dl2d_left,mbons_nonzero,720575940623905719,MBON12,right,125.2
odor_b_dl2d_left,mbons_nonzero,720575940624117245,MBON01,right,166.8
odor_b_dl2d_left,mbons_nonzero,720575940624185095,MBON02,left,131.2
odor_b_dl2d_left,mbons_nonzero,720575940624280328,MBON33,right,55.0
odor_b_dl2d_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,44.6
odor_b_dl2d_left,mbons_nonzero,720575940624539284,MBON18,left,91.8
odor_b_dl2d_left,mbons_nonzero,720575940624659943,"MBON25,MBON34",left,32.4
odor_b_dl2d_left,mbons_nonzero,720575940626109315,MBON19,right,9.0
odor_b_dl2d_left,mbons_nonzero,720575940626315010,MBON13,right,67.6
odor_b_dl2d_left,mbons_nonzero,720575940628783363,MBON07,right,133.0
odor_b_dl2d_left,mbons_nonzero,720575940629422086,MBON09,left,219.4
odor_b_dl2d_left,mbons_nonzero,720575940629529722,MBON10,left,30.6
odor_b_dl2d_left,mbons_nonzero,720575940629585602,MBON10,right,59.6
odor_b_dl2d_left,mbons_nonzero,720575940629856515,MBON09,left,219.0
odor_b_dl2d_left,mbons_nonzero,720575940629981440,MBON26,left,1.0
odor_b_dl2d_left,mbons_nonzero,720575940630075703,MBON12,left,145.6
odor_b_dl2d_left,mbons_nonzero,720575940630496374,MBON05,right,234.0
odor_b_dl2d_left,mbons_nonzero,720575940630767959,MBON15,left,35.0
odor_b_dl2d_left,mbons_nonzero,720575940630864847,MBON09,right,194.0
odor_b_dl2d_left,mbons_nonzero,720575940631177803,MBON24,left,93.6
odor_b_dl2d_left,mbons_nonzero,720575940632118343,MBON10,left,57.2
odor_b_dl2d_left,mbons_nonzero,720575940632535756,MBON14,left,157.6
odor_b_dl2d_left,mbons_nonzero,720575940633209647,MBON10,left,46.4
odor_b_dl2d_left,mbons_nonzero,720575940635063135,MBON22,right,9.8
odor_b_dl2d_left,mbons_nonzero,720575940635082347,MBON15-like,left,26.4
odor_b_dl2d_left,mbons_nonzero,720575940635841143,MBON15,left,15.4
odor_b_dl2d_left,mbons_nonzero,720575940636992368,MBON31,right,85.8
odor_b_dl2d_left,mbons_nonzero,720575940637902938,MBON35,left,89.0
odor_b_dl2d_left,mbons_nonzero,720575940637934308,MBON30,right,171.8
odor_b_dl2d_left,mbons_nonzero,720575940638028607,MBON06,right,192.8
odor_b_dl2d_left,mbons_nonzero,720575940638163428,MBON06,left,23.4
odor_b_dl2d_left,mbons_nonzero,720575940638526278,MBON32,right,92.4
odor_b_dl2d_left,mbons_nonzero,720575940639556467,MBON10,right,62.4
odor_b_dl2d_left,mbons_nonzero,720575940639697827,MBON14,right,150.0
odor_b_dl2d_left,mbons_nonzero,720575940642142861,MBON10,left,38.6
odor_b_dl2d_left,mbons_nonzero,720575940643696288,MBON14,left,166.8
odor_b_dl2d_left,mbons_nonzero,720575940643863496,MBON20,left,1.4
odor_b_dl2d_left,mbons_nonzero,720575940645304430,MBON13,left,78.4
odor_b_dl2d_left,mbons_nonzero,720575940647328900,MBON10,right,55.4
odor_b_dl2d_left,mbons_nonzero,720575940652390134,MBON07,left,156.2
odor_b_dl2d_left,pam_nonzero,720575940604479590,PAM08,left,64.4
odor_b_dl2d_left,pam_nonzero,720575940605113376,PAM08,right,38.6
odor_b_dl2d_left,pam_nonzero,720575940605280201,PAM08,right,47.0
odor_b_dl2d_left,pam_nonzero,720575940608071435,PAM08,right,61.6
odor_b_dl2d_left,pam_nonzero,720575940609414468,PAM04,left,76.8
odor_b_dl2d_left,pam_nonzero,720575940610430254,PAM07,right,48.0
odor_b_dl2d_left,pam_nonzero,720575940610569028,PAM08,left,69.0
odor_b_dl2d_left,pam_nonzero,720575940611129698,PAM10,left,10.6
odor_b_dl2d_left,pam_nonzero,720575940611918578,PAM08,right,37.6
odor_b_dl2d_left,pam_nonzero,720575940612623474,PAM08,right,44.8
