condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,pam_nonzero,720575940621166256,PAM12,left,9.2
odor_b_dl2d_left,pam_nonzero,720575940621216982,PAM08,right,63.8
odor_b_dl2d_left,pam_nonzero,720575940621434145,PAM04,left,24.6
odor_b_dl2d_left,pam_nonzero,720575940621462512,PAM01,right,36.2
odor_b_dl2d_left,pam_nonzero,720575940621617286,PAM08,left,53.4
odor_b_dl2d_left,pam_nonzero,720575940622107869,PAM08,left,32.0
odor_b_dl2d_left,pam_nonzero,720575940622338269,PAM08,right,56.0
odor_b_dl2d_left,pam_nonzero,720575940622387981,PAM08,left,43.8
odor_b_dl2d_left,pam_nonzero,720575940622701808,PAM11,right,29.8
odor_b_dl2d_left,pam_nonzero,720575940623201023,PAM04,left,80.8
odor_b_dl2d_left,pam_nonzero,720575940623398524,PAM08,right,54.6
odor_b_dl2d_left,pam_nonzero,720575940623696647,PAM05,left,37.8
odor_b_dl2d_left,pam_nonzero,720575940623792055,PAM10,left,83.4
odor_b_dl2d_left,pam_nonzero,720575940624545940,PAM07,left,16.8
odor_b_dl2d_left,pam_nonzero,720575940624629223,PAM07,left,34.4
odor_b_dl2d_left,pam_nonzero,720575940624661031,PAM10,right,67.0
odor_b_dl2d_left,pam_nonzero,720575940624687850,PAM12,left,12.8
odor_b_dl2d_left,pam_nonzero,720575940624859725,PAM04,right,90.8
odor_b_dl2d_left,pam_nonzero,720575940625568186,PAM08,left,45.8
odor_b_dl2d_left,pam_nonzero,720575940625615248,PAM04,right,59.0
odor_b_dl2d_left,pam_nonzero,720575940626420045,PAM04,left,61.0
odor_b_dl2d_left,pam_nonzero,720575940626506472,PAM11,left,35.4
odor_b_dl2d_left,pam_nonzero,720575940626878460,PAM10,right,83.8
odor_b_dl2d_left,pam_nonzero,720575940627103877,PAM04,left,87.8
odor_b_dl2d_left,pam_nonzero,720575940627194501,PAM07,right,54.4
odor_b_dl2d_left,pam_nonzero,720575940627390507,PAM12,right,11.0
odor_b_dl2d_left,pam_nonzero,720575940627644584,PAM08,right,68.0
odor_b_dl2d_left,pam_nonzero,720575940627680516,PAM07,left,24.8
odor_b_dl2d_left,pam_nonzero,720575940628094663,PAM07,left,38.8
odor_b_dl2d_left,pam_nonzero,720575940628615683,PAM01,left,30.0
odor_b_dl2d_left,pam_nonzero,720575940628687207,PAM01,left,30.0
odor_b_dl2d_left,pam_nonzero,720575940628836412,PAM08,right,40.8
odor_b_dl2d_left,pam_nonzero,720575940629579836,PAM04,right,97.6
odor_b_dl2d_left,pam_nonzero,720575940629960192,PAM10,left,69.0
odor_b_dl2d_left,pam_nonzero,720575940630397527,PAM12,right,9.8
odor_b_dl2d_left,pam_nonzero,720575940630465398,PAM07,left,15.0
odor_b_dl2d_left,pam_nonzero,720575940630500293,PAM08,left,68.2
odor_b_dl2d_left,pam_nonzero,720575940630684943,PAM08,left,39.8
odor_b_dl2d_left,pam_nonzero,720575940630777631,PAM05,right,18.6
odor_b_dl2d_left,pam_nonzero,720575940630868271,PAM11,right,29.2
odor_b_dl2d_left,pam_nonzero,720575940631095087,PAM01,left,13.4
odor_b_dl2d_left,pam_nonzero,720575940631184439,PAM08,left,62.2
odor_b_dl2d_left,pam_nonzero,720575940631198776,PAM04,right,57.6
odor_b_dl2d_left,pam_nonzero,720575940631222841,PAM12,right,4.6
odor_b_dl2d_left,pam_nonzero,720575940631443304,PAM01,right,40.8
odor_b_dl2d_left,pam_nonzero,720575940631576903,PAM07,right,59.6
odor_b_dl2d_left,pam_nonzero,720575940631636035,PAM04,left,78.0
odor_b_dl2d_left,pam_nonzero,720575940631688808,PAM01,left,40.2
odor_b_dl2d_left,pam_nonzero,720575940633145996,PAM01,left,35.0
odor_b_dl2d_left,pam_nonzero,720575940633406745,PAM10,left,67.0
odor_b_dl2d_left,pam_nonzero,720575940633688476,PAM04,left,103.0
odor_b_dl2d_left,pam_nonzero,720575940634953079,PAM11,right,53.4
odor_b_dl2d_left,pam_nonzero,720575940635356316,PAM04,right,79.8
